owner,name,full_name,stargazer_count,fork_count,language,total_releases,avg_release_interval_days,release_type,collaborator_count,sonarqube_analyzed,sonarqube_analyzed_at,bugs,vulnerabilities,code_smells,sqale_index,coverage,duplicated_lines_density,ncloc,complexity,cognitive_complexity,reliability_rating,security_rating,sqale_rating,alert_status
forwardemail,supertest,forwardemail/supertest,14226,779,JavaScript,42,65.0,slow,10300,True,2025-11-16T17:55:00.480509,1,0,71,1149,0.0,1.7,1633,390,121,3.0,1.0,1.0,OK
sogou,workflow,sogou/workflow,14178,2552,C++,32,59.0,slow,3600,True,2025-11-16T17:54:53.798858,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
spotify,annoy,spotify/annoy,14022,1213,C++,20,67.0,slow,8900,True,2025-11-16T17:55:01.988860,0,0,90,516,0.0,4.3,1450,256,145,1.0,1.0,1.0,OK
sivel,speedtest-cli,sivel/speedtest-cli,13995,1934,Python,22,71.0,slow,900,True,2025-11-16T17:55:44.897382,0,0,22,229,0.0,1.8,1539,261,413,1.0,1.0,1.0,OK
json-iterator,go,json-iterator/go,13893,1059,Go,20,71.0,slow,5300,True,2025-11-16T17:55:54.512842,0,0,313,2239,0.0,5.0,16025,2655,2138,1.0,1.0,1.0,OK
sindresorhus,pure,sindresorhus/pure,13885,997,Shell,41,84.0,slow,9400,True,2025-11-16T17:55:47.446233,0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,OK
apache,druid,apache/druid,13869,3761,Java,68,62.0,slow,72600,False,,,,,,,,,,,,,,
xournalpp,xournalpp,xournalpp/xournalpp,13848,961,C++,36,57.0,slow,24400,True,2025-11-16T17:56:56.337306,25,0,22,177,0.0,0.0,1408,81,128,4.0,1.0,1.0,OK
alphacep,vosk-api,alphacep/vosk-api,13625,1607,Jupyter Notebook,20,50.5,slow,4600,False,,,,,,,,,,,,,,
tink-crypto,tink,tink-crypto/tink,13559,1181,Java,21,57.5,slow,11700,False,,,,,,,,,,,,,,
mwaskom,seaborn,mwaskom/seaborn,13557,2044,Python,37,69.0,slow,21500,True,2025-11-16T17:57:04.279480,33,0,1203,7157,0.0,0.9,40818,6079,5726,5.0,1.0,1.0,OK
sql-js,sql.js,sql-js/sql.js,13413,1096,JavaScript,22,88.5,slow,5500,True,2025-11-16T17:56:50.386422,13,0,458,3037,0.0,1.5,4058,559,366,3.0,1.0,1.0,OK
